MunicipalityNumber,MunicipalityName,Canton,Country,Scenario1_RoofsOnly_PotentialSolarElectricity_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month01_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month02_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month03_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month04_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month05_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month06_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month07_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month08_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month09_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month10_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month11_GWh,Scenario1_RoofsOnly_PotentialSolarElectricity_Month12_GWh,Scenario2_RoofsOnly_PotentialSolarElectricity_GWh,Scenario2_RoofsOnly_PotentialSolarHeat_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month01_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month02_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month03_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month04_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month05_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month06_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month07_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month08_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month09_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month10_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month11_GWh,Scenario3_RoofsFacades_PotentialSolarElectricity_Month12_GWh,Scenario4_RoofsFacades_PotentialSolarElectricity_GWh,Scenario4_RoofsFacades_PotentialSolarHeat_GWh,Factsheet,Methodology,HIST_NR
1,Aeugst am Albis,Zürich,CH,16.03,0.48,0.76,1.35,1.76,2,2.14,2.22,2.01,1.49,0.93,0.49,0.4,10.02,5.02,21.42,0.72,1.11,1.88,2.33,2.56,2.69,2.81,2.62,2.04,1.33,0.72,0.61,15.42,5.02,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/1.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,13256
2,Affoltern am Albis,Zürich,CH,68.29,1.8,3.02,5.59,7.6,8.84,9.52,9.83,8.75,6.28,3.77,1.84,1.45,46.6,20.47,92.03,2.73,4.49,7.89,10.21,11.39,12.07,12.55,11.55,8.71,5.47,2.75,2.22,70.33,20.47,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/2.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,11742
3,Bonstetten,Zürich,CH,24.62,0.67,1.1,2.05,2.72,3.14,3.35,3.49,3.14,2.3,1.4,0.71,0.55,14.37,9.07,32.93,0.98,1.6,2.86,3.63,4.04,4.24,4.45,4.13,3.16,2,1.03,0.81,22.67,9.07,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/3.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,11801
4,Hausen am Albis,Zürich,CH,29.31,0.9,1.38,2.45,3.22,3.64,3.92,4.04,3.66,2.72,1.7,0.92,0.76,19.04,8.82,40.2,1.39,2.08,3.5,4.38,4.76,5.05,5.23,4.9,3.82,2.5,1.4,1.19,29.93,8.82,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/4.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,11992
5,Hedingen,Zürich,CH,23.13,0.64,1.05,1.92,2.56,2.95,3.16,3.28,2.94,2.15,1.31,0.65,0.52,14.21,7.46,31.05,0.96,1.55,2.69,3.42,3.79,4,4.18,3.86,2.96,1.88,0.97,0.79,22.13,7.46,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/5.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,12249
6,Kappel am Albis,Zürich,CH,12.59,0.41,0.62,1.07,1.39,1.54,1.65,1.7,1.56,1.17,0.75,0.39,0.34,8.19,3.47,17,0.61,0.91,1.5,1.87,2,2.11,2.19,2.06,1.61,1.07,0.57,0.5,12.6,3.47,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/6.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,12671
7,Knonau,Zürich,CH,17.4,0.5,0.81,1.45,1.95,2.21,2.37,2.44,2.2,1.61,0.99,0.48,0.39,12.16,4.36,23.24,0.75,1.18,2.02,2.6,2.83,2.99,3.1,2.88,2.2,1.41,0.7,0.58,18,4.36,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/7.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,12674
8,Maschwanden,Zürich,CH,7.75,0.23,0.37,0.66,0.87,0.97,1.03,1.07,0.98,0.73,0.45,0.22,0.17,5.47,1.8,10.28,0.33,0.53,0.91,1.15,1.24,1.3,1.36,1.28,0.99,0.63,0.31,0.25,8.01,1.8,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/8.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,12738
9,Mettmenstetten,Zürich,CH,39.56,1.18,1.89,3.33,4.4,4.96,5.31,5.47,4.97,3.68,2.29,1.14,0.94,27.31,10.35,53.38,1.77,2.78,4.67,5.91,6.42,6.77,7.02,6.57,5.08,3.29,1.68,1.42,41.12,10.35,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/9.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,12433
10,Obfelden,Zürich,CH,31.57,0.87,1.44,2.65,3.53,4.02,4.29,4.45,4.02,2.95,1.8,0.86,0.69,18.9,10.55,42.99,1.32,2.15,3.77,4.8,5.24,5.51,5.75,5.37,4.12,2.62,1.29,1.05,30.32,10.55,https://www.uvek-gis.admin.ch/BFE/storymaps/ECH_SolarpotGemeinden/pdf/10.pdf,https://www.uvek-gis.admin.ch/BFE/redirect/sol.html,12497
